EnrollmentID,StudentID,CourseID,EnrollmentDate
ENR00001,STD1937,CRS0022,2023-04-03
ENR00002,STD1831,CRS0028,2023-01-10
ENR00003,STD1755,CRS0020,2023-10-24
ENR00004,STD1399,CRS0005,2025-01-06
ENR00005,STD1843,CRS0015,2022-10-26
ENR00006,STD1235,CRS0010,2024-09-13
ENR00007,STD1966,CRS0020,2023-08-17
ENR00008,STD1955,CRS0049,2023-12-18
ENR00009,STD1789,CRS0043,2024-02-22
ENR00010,STD1067,CRS0018,2024-03-20
ENR00011,STD1237,CRS0011,2022-10-03
ENR00012,STD1150,CRS0026,2022-08-18
ENR00013,STD1582,CRS0004,2023-03-31
ENR00014,STD1547,CRS0046,2023-03-21
ENR00015,STD1366,CRS0015,2023-10-06
ENR00016,STD1271,CRS0041,2024-04-01
ENR00017,STD1192,CRS0018,2024-08-08
ENR00018,STD1681,CRS0017,2024-11-14
ENR00019,STD1113,CRS0042,2023-02-10
ENR00020,STD1868,CRS0046,2022-10-22
ENR00021,STD1503,CRS0034,2022-07-17
ENR00022,STD1671,CRS0033,2024-08-01
ENR00023,STD1355,CRS0002,2024-01-16
ENR00024,STD1264,CRS0023,2024-09-25
ENR00025,STD1187,CRS0004,2022-09-09
ENR00026,STD1243,CRS0041,2023-08-22
ENR00027,STD1563,CRS0010,2023-12-02
ENR00028,STD1528,CRS0010,2024-12-06
ENR00029,STD1716,CRS0020,2023-01-19
ENR00030,STD1092,CRS0017,2022-11-11
ENR00031,STD1446,CRS0014,2025-03-08
ENR00032,STD1366,CRS0014,2025-05-26
ENR00033,STD1138,CRS0049,2023-03-13
ENR00034,STD1649,CRS0041,2023-04-20
ENR00035,STD1760,CRS0045,2024-06-12
ENR00036,STD1790,CRS0038,2025-03-12
ENR00037,STD1909,CRS0003,2024-11-14
ENR00038,STD1069,CRS0029,2025-05-05
ENR00039,STD1048,CRS0010,2022-07-05
ENR00040,STD1017,CRS0021,2023-06-19
ENR00041,STD1705,CRS0047,2023-07-15
ENR00042,STD1824,CRS0025,2025-04-18
